top - 15:55:59 up  3:04,  3 users,  load average: 0.02, 0.04, 0.05
Tasks: 257 total,   2 running, 255 sleeping,   0 stopped,   0 zombie
%Cpu(s):  2.8 us,  5.6 sy,  0.0 ni, 91.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  1867052 total,   416140 free,   706688 used,   744224 buff/cache
   781 root      20   0  425992   5492   4192 S   0.0  0.3   0:00.30 ModemMana+
   783 avahi     20   0   58024   2248   1800 S   0.0  0.1   0:00.23 avahi-dae+
   784 root      20   0  216972   4776   3364 S   0.0  0.3   0:00.46 abrt-watc+
   786 polkitd   20   0  538220  12616   5132 S   0.0  0.7   0:02.64 polkitd
   790 root      20   0  394588   4568   3404 S   0.0  0.2   0:00.99 accounts-+
   793 root      20   0  312600   6572   3728 S   0.0  0.4   0:06.35 rsyslogd
   796 root      20   0   99648   6108   4504 S   0.0  0.3   0:00.09 VGAuthSer+
   797 root      20   0  305340   6344   4960 S   0.0  0.3   0:31.67 vmtoolsd
   801 dbus      20   0   58460   4236   1872 S   0.0  0.2   0:03.43 dbus-daem+
   803 avahi     20   0   57896    380      0 S   0.0  0.0   0:00.00 avahi-dae+
   807 chrony    20   0  115688   1796   1332 S   0.0  0.1   0:01.83 chronyd
   809 root      20   0  201304   1268    768 S   0.0  0.1   0:00.05 gssproxy
   864 root      20   0  474468  11400   6896 S   0.0  0.6   0:00.78 NetworkMa+
   865 root      20   0  216972   4776   3364 S   0.0  0.3   0:00.02 abrt-watc+
   868 root      20   0   21672   1312    984 S   0.0  0.1   0:01.62 irqbalance
   869 root      20   0   24304   1840   1444 S   0.0  0.1   0:00.63 systemd-l+
   870 root      39  19   16888   1392   1156 S   0.0  0.1   0:00.00 alsactl
   875 root      20   0    6612    288    136 S   0.0  0.0   0:00.00 mcelog
   888 root      20   0  115308    948    692 S   0.0  0.1   0:00.91 ksmtuned
  1115 root      20   0  567284  16728   6000 S   0.0  0.9   0:04.02 tuned
  1116 root      20   0  106044   4136   3164 S   0.0  0.2   0:00.19 sshd
  1119 root      20   0  195796   4452   3240 S   0.0  0.2   0:00.12 cupsd
  1126 root      20   0  613260  14524   9384 S   0.0  0.8   0:00.89 libvirtd
  1131 root      20   0  554176   4976   3796 S   0.0  0.3   0:00.32 gdm
  1133 root      20   0   25904    940    736 S   0.0  0.1   0:00.00 atd
  1136 root      20   0  126284   1616   1000 S   0.0  0.1   0:00.06 crond
  1148 root      20   0  107944    288    184 S   0.0  0.0   0:00.00 rhnsd
  1149 root      20   0  115928    688    528 S   0.0  0.0   0:00.00 rhsmcertd
  1323 e3base    20   0  357844  19656  14092 S   0.0  1.1   0:22.25 statestor+
  1371 root      20   0  317124  24164  10356 S   0.0  1.3   0:03.65 X
  1479 nobody    20   0   49636   1076    704 S   0.0  0.1   0:00.00 dnsmasq
  1482 root      20   0   49608    364      0 S   0.0  0.0   0:00.00 dnsmasq
  1666 root      20   0  426136   7276   4060 S   0.0  0.4   0:00.20 upowerd
  1733 root      20   0  406548   5796   4608 S   0.0  0.3   0:00.41 packageki+
  1739 root      20   0   74404   3336   2564 S   0.0  0.2   0:00.11 wpa_suppl+
  1764 colord    20   0  411240   6340   4760 S   0.0  0.3   0:00.14 colord
  1907 root      20   0       0      0      0 S   0.0  0.0   0:03.06 kworker/u+
  2113 root      20   0  384356   6364   4340 S   0.0  0.3   0:01.24 gdm-sessi+
  2120 e3base    20   0  315320   4052   3180 S   0.0  0.2   0:00.09 gnome-key+
  2124 e3base    20   0  753576   8364   6200 S   0.0  0.4   0:00.66 gnome-ses+
  2133 e3base    20   0   54648    940    472 S   0.0  0.1   0:00.00 dbus-laun+
  2134 e3base    20   0   56580   2316   1076 S   0.0  0.1   0:02.16 dbus-daem+
  2191 e3base    20   0  386488   4052   3252 S   0.0  0.2   0:00.07 gvfsd
  2196 e3base    20   0  415592   5376   2736 S   0.0  0.3   0:00.15 gvfsd-fuse
  2288 e3base    20   0   51376    588      0 S   0.0  0.0   0:00.11 ssh-agent
